Name,Path,Position,Is Active,Url Key,Description,Image,Page Title,Meta Keywords,Meta Description,Include In Menu,Display Mode,CMS Block,Is Anchor,Availabe Sort By,Default Sort By,Page Layout,Custom Layout Update
"モーションプロ(Motion Pro)","Japan 日本車/工具・ジャッキ・充電器",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"ジムズ(JIMS)","Japan 日本車/工具・ジャッキ・充電器",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"エーモン","Japan 日本車/工具・ジャッキ・充電器",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"バッテリー・充電器","Japan 日本車/工具・ジャッキ・充電器",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"メカニックス・ウェア","Japan 日本車/工具・ジャッキ・充電器",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"ロックストラップ","Japan 日本車/工具・ジャッキ・充電器",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"ホルダー・セキュリティ","Japan 日本車",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"スマートフォンホルダ-・ナビ","Japan 日本車/ホルダー・セキュリティ",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"セキュリティ・ロック","Japan 日本車/ホルダー・セキュリティ",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"その他","Japan 日本車",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
"ツーリングマップル","Japan 日本車/その他",1,Yes,,,,,,,Yes,,,No,,,更新するレイアウトがありません,
